year,course,admission,transfers_in,expelled,academic_leave,restored
2024,1,1250,45,100,65,55
2024,2,0,28,85,45,35
2024,3,0,12,75,40,30
2024,4,0,6,55,25,18
2023,1,1200,40,95,60,50
2023,2,0,25,80,40,30
2023,3,0,10,70,35,25
2023,4,0,5,50,20,15
2022,1,1150,38,90,58,48
2022,2,0,22,78,38,28
2022,3,0,9,68,33,23
2022,4,0,4,48,19,14
2021,1,1100,35,85,55,45
2021,2,0,20,75,35,25
2021,3,0,8,65,30,20
2021,4,0,4,45,18,12
2020,1,1050,32,80,52,42
2020,2,0,18,72,32,22
2020,3,0,7,62,28,18
2020,4,0,3,42,16,11
2019,1,1000,30,75,50,40
2019,2,0,16,70,30,20
2019,3,0,6,60,25,16
2019,4,0,3,40,15,10
2018,1,980,28,72,48,38
2018,2,0,15,68,28,19
2018,3,0,5,58,24,15
2018,4,0,2,38,14,9
2017,1,950,25,70,45,35
2017,2,0,14,65,26,17
2017,3,0,5,55,22,14
2017,4,0,2,35,13,8
2016,1,920,23,68,43,33
2016,2,0,12,62,24,16
2016,3,0,4,52,20,13
2016,4,0,2,32,12,7
2015,1,900,20,65,40,30
2015,2,0,10,60,22,15
2015,3,0,4,50,18,12
2015,4,0,2,30,10,6
